date, avg_tripduration_on_days_sec,avg_tripduration_on_days_hms
2019-03-01,830.0,00:13:50
2019-03-02,847.0,00:14:07
2019-03-03,874.0,00:14:34
2019-03-04,809.0,00:13:29
2019-03-05,686.0,00:11:26
2019-03-06,708.0,00:11:48
2019-03-07,677.0,00:11:17
2019-03-08,715.0,00:11:55
2019-03-09,1072.0,00:17:52
2019-03-10,776.0,00:12:56
2019-03-11,906.0,00:15:06
2019-03-12,767.0,00:12:47
2019-03-13,731.0,00:12:11
2019-03-14,786.0,00:13:06
2019-03-15,987.0,00:16:27
2019-03-16,1012.0,00:16:52
2019-03-17,934.0,00:15:34
2019-03-18,841.0,00:14:01
2019-03-19,835.0,00:13:55
2019-03-20,888.0,00:14:48
2019-03-21,764.0,00:12:44
2019-03-22,893.0,00:14:53
2019-03-23,1010.0,00:16:50
2019-03-24,1112.0,00:18:32
2019-03-25,846.0,00:14:06
2019-03-26,781.0,00:13:01
2019-03-27,826.0,00:13:46
2019-03-28,824.0,00:13:44
2019-03-29,956.0,00:15:56
2019-03-30,1317.0,00:21:57
2019-03-31,923.0,00:15:23
