date, gender,trip_on_days
2019-04-01,0,2067
2019-04-01,2,11107
2019-04-01,1,38217
2019-04-02,1,42981
2019-04-02,2,12822
2019-04-02,0,2088
2019-04-03,0,3358
2019-04-03,2,15221
2019-04-03,1,49332
2019-04-04,2,14715
2019-04-04,1,48480
2019-04-04,0,3201
2019-04-05,2,7074
2019-04-05,0,1122
2019-04-05,1,26263
2019-04-06,2,16603
2019-04-06,1,40363
2019-04-06,0,9563
2019-04-07,0,8592
2019-04-07,1,39692
2019-04-07,2,16425
2019-04-08,2,16171
2019-04-08,0,4494
2019-04-08,1,49835
2019-04-09,1,43782
2019-04-09,2,13056
2019-04-09,0,2489
2019-04-10,0,3462
2019-04-10,2,16344
2019-04-10,1,51171
2019-04-11,2,13855
2019-04-11,1,45698
2019-04-11,0,2861
2019-04-12,0,3437
2019-04-12,1,41959
2019-04-12,2,12602
2019-04-13,1,42861
2019-04-13,0,10098
2019-04-13,2,18533
2019-04-14,1,35644
2019-04-14,2,15306
2019-04-14,0,7520
2019-04-15,1,33475
2019-04-15,0,2218
2019-04-15,2,9961
2019-04-16,2,14695
2019-04-16,1,44765
2019-04-16,0,3856
2019-04-17,1,46030
2019-04-17,0,4153
2019-04-17,2,15055
2019-04-18,2,13724
2019-04-18,0,3505
2019-04-18,1,44326
2019-04-19,2,15083
2019-04-19,0,6703
2019-04-19,1,43147
2019-04-20,2,8787
2019-04-20,1,23476
2019-04-20,0,4521
2019-04-21,0,9072
2019-04-21,2,12710
2019-04-21,1,30083
2019-04-22,1,31490
2019-04-22,0,2628
2019-04-22,2,9991
2019-04-23,0,6898
2019-04-23,2,17694
2019-04-23,1,50842
2019-04-24,2,18189
2019-04-24,0,6872
2019-04-24,1,52662
2019-04-25,2,13490
2019-04-25,0,4713
2019-04-25,1,42618
2019-04-26,0,1751
2019-04-26,2,7608
2019-04-26,1,27756
2019-04-27,0,6946
2019-04-27,1,35334
2019-04-27,2,14154
2019-04-28,1,27848
2019-04-28,2,9916
2019-04-28,0,3436
2019-04-29,0,3591
2019-04-29,1,43258
2019-04-29,2,13940
2019-04-30,0,3043
2019-04-30,1,45163
2019-04-30,2,14454
