date,trip_on_days
2019-04-01,51391
2019-04-02,57891
2019-04-03,67911
2019-04-04,66396
2019-04-05,34459
2019-04-06,66529
2019-04-07,64709
2019-04-08,70500
2019-04-09,59327
2019-04-10,70977
2019-04-11,62414
2019-04-12,57998
2019-04-13,71492
2019-04-14,58470
2019-04-15,45654
2019-04-16,63316
2019-04-17,65238
2019-04-18,61555
2019-04-19,64933
2019-04-20,36784
2019-04-21,51865
2019-04-22,44109
2019-04-23,75434
2019-04-24,77723
2019-04-25,60821
2019-04-26,37115
2019-04-27,56434
2019-04-28,41200
2019-04-29,60789
2019-04-30,62660
