date, gender,avg_tripduration_on_days_sec,avg_tripduration_on_days_hms,trip_on_days
2019-09-01,2,1193.0,00:19:53,16550
2019-09-01,1,1139.0,00:18:59,34265
2019-09-01,0,2309.0,00:38:29,11852
2019-09-02,0,2637.0,00:43:57,4150
2019-09-02,2,1246.0,00:20:46,9502
2019-09-02,1,825.0,00:13:45,24140
2019-09-03,0,2748.0,00:45:48,5827
2019-09-03,2,957.0,00:15:57,20884
2019-09-03,1,847.0,00:14:07,57005
2019-09-04,0,2315.0,00:38:35,5092
2019-09-04,1,771.0,00:12:51,58718
2019-09-04,2,916.0,00:15:16,21023
2019-09-05,1,808.0,00:13:28,61966
2019-09-05,0,3042.0,00:50:42,5822
2019-09-05,2,1015.0,00:16:55,21868
2019-09-06,0,1448.0,00:24:08,3013
2019-09-06,1,729.0,00:12:09,39526
2019-09-06,2,938.0,00:15:38,12688
2019-09-07,2,1138.0,00:18:58,21265
2019-09-07,0,2292.0,00:38:12,10443
2019-09-07,1,1001.0,00:16:41,46512
2019-09-08,2,1038.0,00:17:18,19945
2019-09-08,0,1910.0,00:31:50,9061
2019-09-08,1,963.0,00:16:03,43509
2019-09-09,2,920.0,00:15:20,21270
2019-09-09,0,3286.0,00:54:46,5528
2019-09-09,1,823.0,00:13:43,58011
2019-09-10,1,807.0,00:13:27,60095
2019-09-10,2,893.0,00:14:53,21814
2019-09-10,0,1798.0,00:29:58,5675
2019-09-11,1,834.0,00:13:54,61895
2019-09-11,2,924.0,00:15:24,22914
2019-09-11,0,1966.0,00:32:46,5639
2019-09-12,1,762.0,00:12:42,49601
2019-09-12,0,1515.0,00:25:15,3721
2019-09-12,2,840.0,00:14:00,16837
2019-09-13,2,986.0,00:16:26,21214
2019-09-13,0,2010.0,00:33:30,5909
2019-09-13,1,814.0,00:13:34,60513
2019-09-14,0,2172.0,00:36:12,9361
2019-09-14,2,1172.0,00:19:32,20432
2019-09-14,1,919.0,00:15:19,45664
2019-09-15,1,1013.0,00:16:53,46782
2019-09-15,2,1185.0,00:19:45,21549
2019-09-15,0,2056.0,00:34:16,10637
2019-09-16,0,2556.0,00:42:36,5530
2019-09-16,2,971.0,00:16:11,20221
2019-09-16,1,834.0,00:13:54,56355
2019-09-17,2,963.0,00:16:03,23648
2019-09-17,0,1655.0,00:27:35,5562
2019-09-17,1,821.0,00:13:41,63907
2019-09-18,1,876.0,00:14:36,62364
2019-09-18,0,1816.0,00:30:16,5310
2019-09-18,2,889.0,00:14:49,22632
2019-09-19,0,1612.0,00:26:52,5726
2019-09-19,1,869.0,00:14:29,61578
2019-09-19,2,881.0,00:14:41,22351
2019-09-20,1,839.0,00:13:59,61127
2019-09-20,2,979.0,00:16:19,22739
2019-09-20,0,1662.0,00:27:42,6668
2019-09-21,2,1338.0,00:22:18,30015
2019-09-21,0,2244.0,00:37:24,10326
2019-09-21,1,1072.0,00:17:52,58414
2019-09-22,2,1209.0,00:20:09,21054
2019-09-22,0,2225.0,00:37:05,10088
2019-09-22,1,1006.0,00:16:46,45280
2019-09-23,1,842.0,00:14:02,58720
2019-09-23,2,1032.0,00:17:12,21448
2019-09-23,0,1985.0,00:33:05,5321
2019-09-24,2,978.0,00:16:18,23542
2019-09-24,0,2336.0,00:38:56,5469
2019-09-24,1,806.0,00:13:26,64033
2019-09-25,1,820.0,00:13:40,64458
2019-09-25,2,971.0,00:16:11,24020
2019-09-25,0,1713.0,00:28:33,5537
2019-09-26,2,898.0,00:14:58,20674
2019-09-26,1,790.0,00:13:10,59103
2019-09-26,0,1746.0,00:29:06,4816
2019-09-27,0,2195.0,00:36:35,7159
2019-09-27,2,995.0,00:16:35,22894
2019-09-27,1,886.0,00:14:46,63215
2019-09-28,2,1104.0,00:18:24,22132
2019-09-28,1,966.0,00:16:06,48720
2019-09-28,0,2077.0,00:34:37,10751
2019-09-29,2,1080.0,00:18:00,20840
2019-09-29,0,1963.0,00:32:43,10516
2019-09-29,1,957.0,00:15:57,44397
2019-09-30,2,926.0,00:15:26,18894
2019-09-30,1,820.0,00:13:40,52183
2019-09-30,0,1488.0,00:24:48,5476
